58824.964873	 437184200.000	   0.006	8650
58824.964942	 437184150.000	   0.005	8650
58824.965012	 437184050.000	   0.023	8650
58824.965174	 437183700.000	   0.005	8650
58824.965266	 437183500.000	   0.008	8650
58824.965313	 437183500.000	   0.019	8650
58824.965567	 437182950.000	   0.029	8650
58824.965637	 437182800.000	   0.012	8650
58824.965706	 437182500.000	   0.030	8650
58824.965810	 437182150.000	   0.003	8650
58824.965938	 437181650.000	   0.006	8650
58824.966042	 437181200.000	   0.028	8650
58824.966169	 437180550.000	   0.011	8650
58824.966262	 437180100.000	   0.058	8650
58824.966354	 437179500.000	   0.002	8650
58824.966551	 437177950.000	   0.014	8650
58824.966644	 437177450.000	   0.015	8650
58824.966736	 437176550.000	   0.008	8650
58824.966933	 437174850.000	   0.002	8650
58824.966991	 437174400.000	   0.015	8650
58824.967072	 437173800.000	   0.003	8650
58824.967118	 437173400.000	   0.059	8650
58824.967315	 437171800.000	   0.013	8650
58824.967419	 437170950.000	   0.007	8650
58824.967500	 437170500.000	   0.009	8650
58824.967743	 437169050.000	   0.041	8650
58824.967836	 437168500.000	   0.010	8650
58824.967882	 437168350.000	   0.012	8650
58824.968091	 437167450.000	   0.012	8650
58824.968206	 437167100.000	   0.005	8650
58824.968252	 437167000.000	   0.007	8650
58824.968507	 437166300.000	   0.024	8650
58824.968634	 437166000.000	   0.007	8650
58824.968866	 437165650.000	   0.005	8650
58824.968947	 437165650.000	   0.016	8650
58824.969016	 437165500.000	   0.007	8650
58824.969282	 437165200.000	   0.005	8650
58824.969410	 437165150.000	   0.002	8650
58824.969618	 437165050.000	   0.003	8650
58824.969769	 437164800.000	   0.001	8650
58824.969919	 437164700.000	   0.001	8650
