58823.905954	437160895.23	1.0	7031
58823.906180	437160651.03	1.0	7031
58823.906261	437160635.90	1.0	7031
58823.906488	437160298.48	1.0	7031
58823.906540	437160121.37	1.0	7031
58823.906624	437159912.56	1.0	7031
58823.906728	437159728.49	1.0	7031
58823.906801	437159452.31	1.0	7031
58823.906883	437159415.22	1.0	7031
58823.906929	437159369.15	1.0	7031
58823.907054	437158962.66	1.0	7031
58823.907128	437158651.18	1.0	7031
58823.907361	437157276.71	1.0	7031
58823.907397	437157002.72	1.0	7031
58823.907428	437156646.99	1.0	7031
58823.907661	437153691.94	1.0	7031
58823.907681	437153411.80	1.0	7031
58823.907701	437153132.82	1.0	7031
58823.907719	437152834.01	1.0	7031
58823.907733	437152614.70	1.0	7031
58823.907749	437152369.07	1.0	7031
58823.907762	437152227.51	1.0	7031
58823.907838	437151013.67	1.0	7031
58823.907963	437148967.71	1.0	7031
58823.908039	437147606.73	1.0	7031
